city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,18832416.0,1840034016
Los Angeles,Los Angeles,34.1141,-118.4068,United States,US,USA,California,,11885717.0,1840020491
Chicago,Chicago,41.8375,-87.6866,United States,US,USA,Illinois,,8489066.0,1840000494
Miami,Miami,25.784,-80.2101,United States,US,USA,Florida,,6113982.0,1840015149
Houston,Houston,29.786,-95.3885,United States,US,USA,Texas,,6046392.0,1840020925
Dallas,Dallas,32.7935,-96.7667,United States,US,USA,Texas,,5843632.0,1840019440
Philadelphia,Philadelphia,40.0077,-75.1339,United States,US,USA,Pennsylvania,,5696588.0,1840000673
Atlanta,Atlanta,33.7628,-84.422,United States,US,USA,Georgia,admin,5211164.0,1840013660
Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,5146120.0,1840006060
Boston,Boston,42.3188,-71.0852,United States,US,USA,Massachusetts,admin,4355184.0,1840000455
Phoenix,Phoenix,33.5722,-112.0892,United States,US,USA,Arizona,admin,4065338.0,1840020568
Detroit,Detroit,42.3834,-83.1024,United States,US,USA,Michigan,,3716929.0,1840003971
Seattle,Seattle,47.6211,-122.3244,United States,US,USA,Washington,,3555253.0,1840021117
San Francisco,San Francisco,37.7558,-122.4449,United States,US,USA,California,,3364862.0,1840021543
San Diego,San Diego,32.8313,-117.1222,United States,US,USA,California,,3057778.0,1840021990
Minneapolis,Minneapolis,44.9635,-93.2678,United States,US,USA,Minnesota,,2906807.0,1840007830
Tampa,Tampa,27.9945,-82.4447,United States,US,USA,Florida,,2906035.0,1840015982
Brooklyn,Brooklyn,40.6501,-73.9496,United States,US,USA,New York,,2736074.0,1840034030
Denver,Denver,39.762,-104.8758,United States,US,USA,Colorado,admin,2691349.0,1840018789
Queens,Queens,40.7498,-73.7976,United States,US,USA,New York,,2405464.0,1840034002
Riverside,Riverside,33.9381,-117.3949,United States,US,USA,California,,2288508.0,1840020551
Las Vegas,Las Vegas,36.2333,-115.2654,United States,US,USA,Nevada,,2256509.0,1840020364
Baltimore,Baltimore,39.3051,-76.6144,United States,US,USA,Maryland,,2189589.0,1840001592
St. Louis,St. Louis,38.6359,-90.2451,United States,US,USA,Missouri,,2127843.0,1840001651
Portland,Portland,45.5371,-122.65,United States,US,USA,Oregon,,2084045.0,1840019941
San Antonio,San Antonio,29.4632,-98.5238,United States,US,USA,Texas,,2069843.0,1840022220
Sacramento,Sacramento,38.5677,-121.4685,United States,US,USA,California,admin,1962998.0,1840021491
Austin,Austin,30.3005,-97.7522,United States,US,USA,Texas,admin,1915031.0,1840019590
Orlando,Orlando,28.4773,-81.337,United States,US,USA,Florida,,1913597.0,1840015099
San Jose,San Jose,37.3012,-121.848,United States,US,USA,California,,1771563.0,1840021570
Indianapolis,Indianapolis,39.7771,-86.1458,United States,US,USA,Indiana,admin,1740984.0,1840030084
Pittsburgh,Pittsburgh,40.4397,-79.9763,United States,US,USA,Pennsylvania,,1712828.0,1840001254
Cincinnati,Cincinnati,39.1413,-84.506,United States,US,USA,Ohio,,1704916.0,1840003814
Manhattan,Manhattan,40.7834,-73.9662,United States,US,USA,New York,,1694263.0,1840034000
Kansas City,Kansas City,39.1238,-94.5541,United States,US,USA,Missouri,,1686807.0,1840008535
Cleveland,Cleveland,41.4764,-81.6805,United States,US,USA,Ohio,,1679247.0,1840000596
Columbus,Columbus,39.9862,-82.9855,United States,US,USA,Ohio,admin,1578153.0,1840003760
Bronx,Bronx,40.8501,-73.8662,United States,US,USA,New York,,1472654.0,1840033999
Charlotte,Charlotte,35.2083,-80.8303,United States,US,USA,North Carolina,,1436613.0,1840014557
Virginia Beach,Virginia Beach,36.7335,-76.0435,United States,US,USA,Virginia,,1431821.0,1840003871
Jacksonville,Jacksonville,30.3322,-81.6749,United States,US,USA,Florida,,1303156.0,1840015031
Milwaukee,Milwaukee,43.0642,-87.9675,United States,US,USA,Wisconsin,,1290221.0,1840003046
Providence,Providence,41.823,-71.4187,United States,US,USA,Rhode Island,admin,1270529.0,1840003289
Nashville,Nashville,36.1715,-86.7842,United States,US,USA,Tennessee,admin,1178679.0,1840036155
Salt Lake City,Salt Lake City,40.7776,-111.9311,United States,US,USA,Utah,admin,1169033.0,1840021383
Raleigh,Raleigh,35.8324,-78.6429,United States,US,USA,North Carolina,admin,1150010.0,1840014497
Richmond,Richmond,37.5295,-77.4756,United States,US,USA,Virginia,admin,1081248.0,1840001698
Memphis,Memphis,35.1087,-89.9663,United States,US,USA,Tennessee,,1033394.0,1840015457
Oklahoma City,Oklahoma City,35.4676,-97.5136,United States,US,USA,Oklahoma,admin,1000207.0,1840020428
Hartford,Hartford,41.7661,-72.6834,United States,US,USA,Connecticut,admin,969171.0,1840004773
Louisville,Louisville,38.1663,-85.6485,United States,US,USA,Kentucky,,965005.0,1840030815
Buffalo,Buffalo,42.9018,-78.8487,United States,US,USA,New York,,949547.0,1840000386
Fort Worth,Fort Worth,32.7817,-97.3474,United States,US,USA,Texas,,941311.0,1840020696
Bridgeport,Bridgeport,41.1918,-73.1954,United States,US,USA,Connecticut,,921660.0,1840004836
New Orleans,New Orleans,30.0687,-89.9288,United States,US,USA,Louisiana,,918752.0,1840001839
Tucson,Tucson,32.1541,-110.8787,United States,US,USA,Arizona,,879871.0,1840022101
El Paso,El Paso,31.8476,-106.43,United States,US,USA,Texas,,862494.0,1840023252
Omaha,Omaha,41.2627,-96.0529,United States,US,USA,Nebraska,,826161.0,1840009315
McAllen,McAllen,26.2252,-98.2467,United States,US,USA,Texas,,810034.0,1840021024
Hempstead,Hempstead,40.6629,-73.6089,United States,US,USA,New York,,789177.0,1840005293
Birmingham,Birmingham,33.5279,-86.7971,United States,US,USA,Alabama,,778756.0,1840006507
Albuquerque,Albuquerque,35.1054,-106.6465,United States,US,USA,New Mexico,,767499.0,1840019176
Tulsa,Tulsa,36.1283,-95.9042,United States,US,USA,Oklahoma,,740620.0,1840021672
Charleston,Charleston,32.8168,-79.9687,United States,US,USA,South Carolina,,726389.0,1840015163
Fresno,Fresno,36.783,-119.7939,United States,US,USA,California,,724547.0,1840020319
Rochester,Rochester,43.168,-77.6162,United States,US,USA,New York,,694707.0,1840000373
Dayton,Dayton,39.7805,-84.2003,United States,US,USA,Ohio,,667936.0,1840034249
Cape Coral,Cape Coral,26.6443,-81.9957,United States,US,USA,Florida,,656464.0,1840015130
Provo,Provo,40.2457,-111.6457,United States,US,USA,Utah,,639820.0,1840020174
Colorado Springs,Colorado Springs,38.8674,-104.7605,United States,US,USA,Colorado,,638421.0,1840018825
Mission Viejo,Mission Viejo,33.6096,-117.6551,United States,US,USA,California,,634674.0,1840020580
Allentown,Allentown,40.5961,-75.4756,United States,US,USA,Pennsylvania,,632175.0,1840001044
Baton Rouge,Baton Rouge,30.442,-91.1311,United States,US,USA,Louisiana,admin,630063.0,1840013941
Ogden,Ogden,41.2279,-111.9682,United States,US,USA,Utah,,623688.0,1840020135
Knoxville,Knoxville,35.9692,-83.9496,United States,US,USA,Tennessee,,618226.0,1840014486
Grand Rapids,Grand Rapids,42.9619,-85.6562,United States,US,USA,Michigan,,611480.0,1840002928
Columbia,Columbia,34.0378,-80.9036,United States,US,USA,South Carolina,admin,605083.0,1840014730
Albany,Albany,42.6664,-73.7987,United States,US,USA,New York,admin,602242.0,1840000417
Bakersfield,Bakersfield,35.3529,-119.0359,United States,US,USA,California,,578542.0,1840019148
New Haven,New Haven,41.3113,-72.9246,United States,US,USA,Connecticut,,565056.0,1840004850
